 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 29, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rubidium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5320E+00 g/cm3 = 1.0794E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rb     37    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.461E-01  1.825E-03    3081 A      1871 A      1583 A   
  11.00 keV   1.544E-01  1.755E-03    3358 A      1965 A      1677 A   
  12.00 keV   1.630E-01  1.691E-03    3628 A      2053 A      1766 A   
  13.00 keV   1.718E-01  1.632E-03    3889 A      2133 A      1849 A   
  14.00 keV   1.805E-01  1.578E-03    4143 A      2208 A      1927 A   
  15.00 keV   1.890E-01  1.528E-03    4390 A      2277 A      2000 A   
  16.00 keV   1.974E-01  1.482E-03    4630 A      2340 A      2069 A   
  17.00 keV   2.056E-01  1.439E-03    4864 A      2400 A      2134 A   
  18.00 keV   2.135E-01  1.398E-03    5093 A      2456 A      2196 A   
  20.00 keV   2.284E-01  1.325E-03    5535 A      2557 A      2311 A   
  22.50 keV   2.453E-01  1.245E-03    6065 A      2667 A      2440 A   
  25.00 keV   2.604E-01  1.176E-03    6574 A      2765 A      2557 A   
  27.50 keV   2.735E-01  1.115E-03    7065 A      2851 A      2664 A   
  30.00 keV   2.850E-01  1.061E-03    7543 A      2930 A      2763 A   
  32.50 keV   2.948E-01  1.013E-03    8010 A      3001 A      2855 A   
  35.00 keV   3.032E-01  9.700E-04    8468 A      3067 A      2942 A   
  37.50 keV   3.103E-01  9.307E-04    8920 A      3128 A      3024 A   
  40.00 keV   3.162E-01  8.950E-04    9367 A      3185 A      3103 A   
